"rat_id"	"sex_mf"	"dissection_age"	"body_weight_g"	"library"	"brain_region"	"sequencing_batch.y"	"RNAMethod"
"X00077E67B5_IL"	"00077E67B5"	"M"	83	294	"00077E67B5_IL"	"IL"	"1"	"Manual"
"X00077E8336_IL"	"00077E8336"	"M"	87	271	"00077E8336_IL"	"IL"	"1"	"Mixed"
"X00077EA7E6_IL"	"00077EA7E6"	"M"	83	317	"00077EA7E6_IL"	"IL"	"1"	"Mixed"
"X000789FF7D_IL"	"000789FF7D"	"M"	84	290	"000789FF7D_IL"	"IL"	"1"	"Qiacube"
"X00078A0041_IL"	"00078A0041"	"F"	85	147	"00078A0041_IL"	"IL"	"1"	"Qiacube"
"X000789FF6E_IL"	"000789FF6E"	"F"	90	189	"000789FF6E_IL"	"IL"	"3_4_5"	"Qiacube"
"X000789FF94_IL"	"000789FF94"	"M"	88	314	"000789FF94_IL"	"IL"	"3_4_5"	"Qiacube"
"X00078A0085_IL"	"00078A0085"	"F"	86	173	"00078A0085_IL"	"IL"	"3_4_5"	"Qiacube"
"X00077E67B5_LHB"	"00077E67B5"	"M"	83	294	"00077E67B5_LHB"	"LHB"	"1"	"Manual"
"X00077E76C6_LHB"	"00077E76C6"	"F"	87	170	"00077E76C6_LHB"	"LHB"	"1"	"Manual"
"X00077E8336_LHB"	"00077E8336"	"M"	87	271	"00077E8336_LHB"	"LHB"	"1"	"Mixed"
"X00077EA7E6_LHB"	"00077EA7E6"	"M"	83	317	"00077EA7E6_LHB"	"LHB"	"1"	"Mixed"
"X000789FF7D_LHB"	"000789FF7D"	"M"	84	290	"000789FF7D_LHB"	"LHB"	"1"	"Qiacube"
"X00078A0041_LHB"	"00078A0041"	"F"	85	147	"00078A0041_LHB"	"LHB"	"1"	"Qiacube"
"X000789FF6E_LHB"	"000789FF6E"	"F"	90	189	"000789FF6E_LHB"	"LHB"	"3_4_5"	"Qiacube"
"X000789FF94_LHB"	"000789FF94"	"M"	88	314	"000789FF94_LHB"	"LHB"	"3_4_5"	"Qiacube"
"X000789FFF8_LHB"	"000789FFF8"	"F"	87	191	"000789FFF8_LHB"	"LHB"	"3_4_5"	"Qiacube"
"X00078A0085_LHB"	"00078A0085"	"F"	86	173	"00078A0085_LHB"	"LHB"	"3_4_5"	"Qiacube"
"X00077E67B5_Acbc"	"00077E67B5"	"M"	83	294	"00077E67B5_Acbc"	"Acbc"	"1"	"Manual"
